product_name,category_name,supplier_names
Laptop,Electronics,"Global Supplies Co., Future Tech Supplies"
T-Shirt,Clothing,Quick Deliveries
Fiction Novel,Books,"Eco Traders, Best Wholesale"
Microwave Oven,Home Appliances,"Smart Suppliers, Express Goods"
Football,Sports,Green Earth Distributors
Office Chair,Furniture,"Quality Products Inc., Smart Suppliers"
Action Figure,Toys,Global Supplies Co.
Shampoo,Beauty,Eco Traders
Notebook,Stationery,"Quick Deliveries, Everyday Suppliers"
Car Battery,Automotive,Global Supplies Co.
Headphones,Electronics,Future Tech Supplies
Jacket,Clothing,Quick Deliveries
Self-Help Book,Books,Eco Traders
Vacuum Cleaner,Home Appliances,Smart Suppliers
Tennis Racket,Sports,Green Earth Distributors
